Title(s),Notes/Reasons,Developer,Publisher
Gemini,"FPS adventure”, where the player had to “climb” a futuristic tower that connected the earth to a space station. It was cancelled early in development. This was the “twin project” of Freefall. [ 524 ]",Microsoft Games Studios / Ironworks,Microsoft
Geox Plattformer,"In 2019 a prototype of a Geox game was found on a development kit. [ 525 ] [ 526 ] The dev kit may belong to AddGames Italia, do to a prototype of their game ""International Volleyball 2004"" (released on PC in 2006) was found on it too.",AddGames Italia (?),
Get On Da Mic,Hip-Hop Karaoke game announced in May 2004. [ 527 ] At E3 2004 the game was shown on Xbox and PlayStation 2. It was also planned for GameCube. [ 528 ] By mid September 2004 the GameCube version was cancelled and the PlayStation 2 and Xbox version were announced for an October 2004 release. [ 529 ] The game released on 5. October on the PlayStation 2.,A2M and Highway 1 Productions,Eidos
Ghost Rider,"Movie Ti-In game announced in May 2004. [ 530 ] In June 2005 it was announced for Xbox, PlayStation 2 and PSP. [ 531 ] In December 2005 Majesco sold the Ghost Rider license to 2K/TakeTwo do to financial trouble. [ 532 ] 2K continued development and announced a DS and GBA port. [ 533 ] Different prototypes were leaked over the years. [ 534 ]",Climax Studios,Majesco / 2K Games
Ghouls 'N Ghosts Online,also known as: Makai-Mura Online & Ghouls 'N Ghosts Online Zero An MMORPG with a planned release date in Fall 2003 for Xbox and PC. The game was shown on 6. March 2003 at the Game Developers Conference. By December 2003 the game was in Beta testing and announced for 2004. [ 535 ] In 2010 the game was announced for PC for the Korean market. [ 536 ],The Game Factory / Rava,Capcom
Ghouls 'N Ghosts Match Fight,Fighting game announced while Ghouls 'N Ghosts Online was in development. [ 537 ],The Game Factory,Capcom
Ghostman,"Ghost game similar to Murdered: Soul Suspect, planned to release in 2004/2005 for PlayStation 2 and Xbox. The game plays in London and the player controls Nicolai Liptsky who was murdered by the Mafia and becomes a ghost and must save his family. A trailer and screenshots were published. [ 538 ] [ 539 ]","Kawaii Studio, Widescreen Games",
Giants X,also known as Giants: Citizen Kabuto The game was announced as Giants X in May 2001 for Xbox. [ 540 ],Planet Moon Studios /  Digital Mayhem,Interplay
Gladiator: The Crimson Reign,"Gladiator fighting game announced in August 2002 at Midways Gamer's Day for Xbox, PlayStation 2 and GameCube with a planned release in Summer of 2003. [ 541 ] On that event a demo was playable. The game would feature 10 characters, 30 arenas, over 40 weapons and hundreds of armor pieces. The controls were unique do to every hand controls separately. A multiplayer was also planned. [ 542 ] A trailer was released the same month. [ 543 ] By January 2004 the game was cancelled, do to the ""overcrowding"" market. [ 544 ] Alpha footage made its way online. [ 545 ]",Midway West,Midway
Goblin Quest,"3rd person platform adventure announced in August 2001 for a Winter 2002 release. [ 546 ] The player would play different goblins named Faust, Gretta, Nogoodnick, and Pigfried. Faust would be the main protagonist and would be presented as an anti-hero. The villian of the game would be mushrooms. It was planned that the player sneaks and hide and also uses different types of vehicles. Also online multiplayer and online options were planned. A playable demo was shown to IGN. [ 547 ] [ 548 ] In 2003 the game was planned for 2004. [ 549 ] A PlayStation 2 tech demo was preserved by Unseen64. [ 550 ]",Kodiak Interactive,
Good Cop Bad Cop,"An action adventure game. The game was announced in May 2001 for PC, PlayStation 2 and Xbox. [ 551 ] In late 2002 a GameCube Version was also announced. [ 552 ] The story is about Ben Kellman who has to solve a murder and the suspect might be the same person who killed his father 25 years earlier. Whether Kellman seeks revenge or justice is down to how the player chooses to play the game. A prototype was playable on the PlayStation 2. [ 553 ] In October 2002 development were delayed for a 2004 release [ 554 ] and ultimately cancelled shortly after. [ 555 ] Some Character models found their way online. [ 556 ] Screenshots of the game were used in magazines. [ 557 ]",Revolution Software,
"Good, the Bad and the Ugly, The","Movie Tie-In-Game announced in September 2005 for a 2006 release on PC, PlayStation 2, Xbox and PSP. [ 558 ] The player would play The Man With No Name in an original plot. it was planned to involve Clint Eastwood. Rights to the music score by Ennio Morricone were also saved. [ 559 ]",Bits Studios,MGM Interactive
Gothic,Action RPG released in 2001 on PC. After the release of Gothic in Europe on PC Xicat Interactive planned to release an Xbox and GameCube Version in Q4 2002. [ 560 ] [ 561 ],Piranha Bytes Software GmbH,Xicat Interactive
Grand Prix 4,"Originally announced for release in June 2002 for both Windows and Xbox, only the Windows version ever released. The following September, it was announced that developer Microprose was closing and the Xbox version was cancelled. It was iterated that the cancellation was strictly due to financial and business issues, not quality reasons. The Xbox version was planned to be identical to the Windows version except for its multiplayer modes; the Windows version allowed for 8 player multiplayer through a LAN connection , while the Xbox version would have featured a 2 player split screen mode. [ 562 ] [ 563 ] [ 564 ] [ 565 ] [ 566 ]",MicroProse,Infogrames
Grand Raid Offroad,"Open World Off-road Racing Game announced in 2004 for Xbox, PC [ 567 ] and later Xbox 360. The map should be more than 10.000 km² (3861 square miles) big and would feature Xbox Live support. [ 568 ] A first trailer was shown in August 2005 and a second in December 2005. [ 569 ] [ 570 ] The game was cancelled in 2008 and redeveloped by Codemasters into FUEL. [ 571 ] [ 572 ]",Asobo Studios,
Gravity Kings,"overboard / overbike racing / skateboarding game. Beside some screenshots, nothing is known about the prototype. [ 573 ] Duane B. Molitor worked on the project. [ 574 ]",Microsoft Game Studios,
Green Green: Kane no Oto Dynamic / Green Green: Kane no Oto Romantic (グリーングリーン),"18+ romance adventures originally released in October 2001 on PC. The game takes place in a all boys school in the mountains. Due to changes in the school system, it was decided to start recruiting female students in a certain experiment, which started the story. Romantic emphasizes sadness, while Dynamic emphasizes momentum and rhythm, and each version features a different heroine. The Xbox Version was announced in 2002. [ 575 ] but cancelled by January 2003. [ 576 ] [ 577 ] Both games released in Japan on the PlayStation 2 on April 24, 2003.",Kadokawa Shoten,Success
GR Offroad,"Rally game announced in February 2004 for Xbox. The game cntained 30 vehicles, 6 maps that are over 10.000km big and Xbox live support. [ 578 ] The game was later developed for the Xbox 360 but also cancelled. [ 579 ]",Asobo Studio,
GTR FIA Racing,Racing simulator game released on PC in May 2005. A Xbox and Xbox 360 port were planned but ultimately cancelled. [ 580 ] [ 581 ],SimBin,10tacle Studios
"Guardian, The","Adventure game that was in development in 2002 - 2003. The game was not announced at all. A playable prototype was produced and gameplay made public in 2016. [ 582 ] [ 583 ] The game was cancelled do to the bankruptcy of the publisher. The game was at completed up to 50%, do to being a requirement for pickup of the publisher. [ 584 ]",The Whole Experience,Capital Entertainment Group / SEGA(?) [ 585 ]
Gumshoe,"Adventure game announced in February 2003 [ 586 ] for PC, Xbox and PlayStation 2 [ 587 ] and planned to release in March 2005. The game began it's life as a project for the 2002 'Dare to be Digital' competition and it won it. [ 588 ] The game was planned to be in a Noire style, playing J.D. Plamer, solving crimes as a private detective. [ 589 ] The German rating System USK allegedly rated the game USK0. [ 590 ] In 2004 the game was reworked into a flash based pint & click game named Gumshoe Online released in January 2005 [ 591 ] onwards in Episodes - which is considered Lost Media today. [ 592 ] By March 2006 18.000 keys were sold. [ 593 ]",Hiding Buffalo,
Hail to the Chimp,A party game released for the PlayStation 3 and Xbox 360 platforms in 2008. A version for Xbox was leaked onto the internet in 2021 as part of the Project Deluge video game preservation efforts. [ 42 ] [ 594 ],Wideload Games,Gamecock Media Group
Hannibal: Vengeance of Chartage,also known as Hannibal - Vengeance of Carthage (different writing of the last word) Strategy game announced in July 2005 for Xbox and PC. [ 595 ] The game is based on the Historical figure Hannibal and takes place in 218–201 BC. By mid 2006 the Xbox version was cancelled. [ 596 ] The website of the game was shut down in 2010. [ 597 ],Tabula Rasa Games,
Happy Feet,Licensed game of the movie. An Xbox version was in development but never saw the light of day.,A2M (Artificial Mind and Movement),"Warner Bros. Interactive, Midway Games"
Hardcore 4X4,A Monstertruck Racing game. It was planned to have also a GBA port in 2003. [ 598 ] Nothing more is known about the game. [ 599 ],,XS Games
Haven: Call of the King,"The first of a trilogy of planned games, it was announced for GameCube, PlayStation 2, and Xbox. The game underwent a difficult development cycle, resulting in the GameCube and Xbox versions being cancelled to focus on the PS2 version. This version failed to reach sales targets, leading the remaining two games to be cancelled as well. [ 600 ]",Traveller's Tales,Midway
Heaven & Hell ...Live and Let Die,"Real-time strategy / god game developed by MadCat - NOT the ones with the shitty controllers, that's MadCatZ - and Eigelb Studios. It released on PC in 2003. [ 601 ] In November 2002 an Xbox version was announced. [ 602 ] The Xbox Version was cancelled do to the negative ratings of the game on PC and the financial trouble cdv was in at the time.","MadCat, Eigelb Studios",cdv Software
Hell On Wheels,"Not to be confused with the also cancelled Full Throttle: Hell on Wheels Action game/beat em up with biker setting. The game was worked on from 2003 up till the closure of the studio in 2005, do to not finding a publisher. Gameplay was published. [ 603 ]",Skylab Entertainment,
He-Man: Defender of Grayskull,"A video game adaption of the Masters of the Universe franchise was announced for Xbox, PlayStation 2 , and GameCube in 2003. Despite the Xbox version being far enough in development to appear on the Xbox 360 backwards compatibility list in 2005, only the PlayStation 2 version was released. [ 604 ] An early prototype of the Xbox version was later leaked onto the internet in 2021 as part of the Project Deluge video game preservation efforts. [ 43 ] [ 42 ] [ 605 ]",Savage Entertainment,Midas Interactive Entertainment
Hellraiser,"Announced in May 2001, it  is unclear if the game was related to the movie franchise. [ 606 ]",,Xicat Interactive
Hidden invasion,Action beat em up released in December 2001 for the PlayStation 2  and announced in February 2002 for GameCube and Xbox [ 607 ],Toka,Conspiracy Games / Swing! Entertainment Media AG
Highlander,"Game based on the movie franchise announced in September 2004. [ 608 ] In June 2005 it was planned to show the game at E3 and a PS2 port was planned. [ 609 ] By September 2005 the game was also planned for Xbox 360. [ 610 ] In 2008 the game was announced for Xbox 360, PC and PlayStation 3 but was ultimately cancelled in 2010. [ 611 ] [ 612 ]",Davis Panzer Productions,SCi
"History Channel, Civil War: The Game - Great Battles, the","also known as History Channel: American Civil War and Civil War -The Battle of Bull Run: Take Command: 1861 RTS game stated as a port of Civil War -The Battle of Bull Run: Take Command: 1861 for Xbox and PlayStation 2 in July 2005 with a release date of November 2005 and a price tag of $30. [ 613 ] In November 2005 the game was delayed till Feb. 1, 2006 and the name was changed to History Channel: American Civil War. [ 614 ] The game received prerelease cover art and was rated T by the ESRB on Xbox.",Cat Daddy Games / MadMinuteGames,Activision / Atari
Hollow,"First Person shooter, announced in September 2003. By February 2004, they released a 10 minute gameplay video. [ 615 ] The game was named a combination of Splinter Cell, Doom 3, Battlefield 1942, and Halo. [ 616 ] Players would assume the role of an expelled US journalist named Tyler Kilmore, who, upon returning to the disco-totalitarian state of Centrope reunites with his fiancée and finds himself being arrested for her murder. The game would feature four distinct environments, ranging from a disco-totalitarian metropolis to a decaying underworld. Each mission in the game would end with a movie-style action sequence showing the player's best moments. The game was put on hold in October 2004. [ 617 ]",ZootFly,
Hot Wheels: World Race,"Racing game announced at E3 2003 for Xbox, PlayStation 2 and GameCube under the name Hot Wheels Highway 35 World Race. [ 618 ] The game shipped in November 2003 except the Xbox version. [ 619 ]",Climax Studios,THQ
Hoyle Majestic Chess,A version of Chess. The game was announced in April 2003 fir Xbox and PC. [ 222 ] The game was released in September 2003 on PC. [ 620 ],Fluent,VU Games
Iceman,"Announced in September 2003 with a planned release date in December 2003 as a local multiplayer game for the GameCube, PlayStation 2, Xbox, and Windows. The game was roughly 80% completed, but Datura was unable to find a publisher, resulting in the company's closure. [ 621 ]",Datura Studios,
Illbleed,"Xbox port of the survival horror game released on Segas Dreamcast in 2001. The port was 90% finished. The game was cancelled because creator Shinya Nishigaki died of a heart attack on February 14, 2004 and the Xbox's poor commercial performance in Japan. [ 150 ] [ 151 ]",Cool Cool / Climax Graphics Inc.,AIA
Imouto: Kana,Adult only game released in 1999 on PC. In the game the sister Kana and his brother have an affair. Also bone marrow transplants were part of the game. [ 622 ] A Xbox Version was planned but cancelled. [ 623 ],,Panther Software
I-Ninja 2,After the release of I-Ninja a sequel was in development in 2003 till the closure of the company in 2004. [ 624 ],Argonaut Games,
Indiana Jones Tilogy,After the release of Indiana Jones and the Emperors Tomb a sequel as planned. The game never materialized. [ 625 ],The Collective,
Infiltrator: Shadow Wars,"MMORPG, where the world is controlled by powerful companies [ 626 ] . The game was announced in 2000. [ 627 ] The game was cancelled by 2004 [ 628 ]",Orbital Frog,
Internal Pain,"First Person action sci-fi shooter. It was announced in 2001 for PC and planned for Winter 2002. [ 629 ] It was rumored, that it would release on Xbox too. In the game the player has to fight between 4 different species. The game would have 39 levels with 10 rooms and 59 different endings. [ 630 ] Late that year, it was announced for Xbox. [ 631 ] screenshots and a trailer - dated April 2000 - were published. [ 632 ] Fantasy Studios closed down somewhere in October or November 2002.",Fantasy Studios,
International Volleyball 2004,"Was found on a development console, together with an unreleased Geox platformer. [ 525 ] [ 526 ]",AddGames Italia,
Invasion: Hostile Intent,"Action Adventure planned to release between 2005 and 2006, do to some lists in gaming forums. [ 633 ] [ 634 ] A Prototype was found in 2020 on a Dev Kit belonging to Uber Entertainment. [ 635 ]",Uber Entertainment,
Ion Runner,"Racing / on rail shooter that was in development in 2002 to 2003 for Xbox, PlayStation 2, GameCube and PC. [ 636 ] The game was cancelled in August 2003, do to the studio closing. [ 637 ] [ 638 ]",Attention to Detail,
Iron Construct,"also know as The Great Steam War and Blip and the Great Machine Game never came out of the Prototype stage. Screenshots of the prototype were found, playing a robot. [ 639 ] Michael Gordon Sharpio (made music for Spongebob & Undercover Boss) made music for it. [ 640 ] Cormac Russel (known working on Unreal & WWE Crush Hour) was the Lead Designer/Producer. [ 641 ]",1Up Studios,
Iron Man (2003),"In 2003 ""The Invincible Ironman"" was in development for Xbox, PlayStation 2 and PC. The game was in development for 6 months before Activision cancelled the game. In 2024 developer Kevin Edwards published screenshots of the game on Twitter. [ 642 ]",Genepool Software,Activision
Iron Storm,"A First person shooter, announced in 2001 and released in 2002, with an updated version released on PlayStation 2 in 2004 and Windows 2005. During the original releases development, an Xbox version was announced but never released. [ 643 ]",4X Studio,Wandadoo
Jane's Attack Squadron,Realistic WW2 flight game announced for GameCube and Xbox for a Q4 2002(Xbox) / Q1 2003 (GC) release. [ 644 ],,Xicat Interactive
Jane's TSF Flight Simulator,"An Xbox entry in the Jane's Flight Simulator series. This was listed at certain retailers, but was never officially announced or released. Might be another name of the release above. Nothing more is known. [ 645 ]",,Xicat Interactive
Jeremy McGrath Supercross World,"Motocross game, released in 2001 for GameCube and PlayStation 2. IGN claims that an Xbox verision was planned. [ 646 ]",Acclaim,Acclaim
Jet Sprint MX,"Original Xbox Exclusive Jetski racing game, announced in May 2001 with a planned Summer 2002 release. It would feature an arcade and career mode with around 30 boats, divided in 3 classes. DLC was planned. Splitscreen modes like CTF, Tag, and Beach Ball were planned. In August of 2001 the game was cancelled, when Funcom announced to ""moved out of development for the Xbox"". [ 647 ] [ 648 ] Advertisement claims a release in Fall 2002. [ 649 ]",Funcom,
Jimmy White's World Tour,"Pool game with different themed tables and minigames, like thumb wrestling. A trailer was published in 2007 on YouTube. [ 650 ] Do to release lists in forums the game was planned to release in 2005. [ 651 ]",Awesome Studios,Ignition Entertainment
Johnny Whatever,Rock themed third person shooter. It was in development for Xbox and PlayStation 2 - later for the Gizmondo. Screenshots of the game were made public in 2004. [ 652 ] A Trailer was also published. Warthog was bought by Tiger Telematics and the release put on hold in 2006. A beta of the Gizmondo version was leaked around 2007. [ 653 ] A website by Fever Pitch Studios about the game and his assets can be found online [ 654 ],Warthog / Fever Pitch Studios (?),
Jo(h)nny Drama,"3D platformer around the movie star and spy Johnny Drama, who must stop the evil Dr. Bumbershoot from executing his sinister plan to destroy the world. [ 655 ] The game was shown at E3 2000 in a ""Sneak Peak"" for upcoming Xbox games [ 656 ] It was officially announced in May 2001. [ 657 ] Ben Houge composed a highly interactive Soundtrack for the game in 2001. [ 658 ] A trailer was published. [ 659 ] A Demo version(?) of the game is in the hands of an unknown collector. [ 660 ]",Sierra Entertainment,Sierra Entertainment
Joust 3D,"3D revival of the classic Joust game developed for Xbox, PlayStation 2 and GameCube for a release in 2001 / 2002. [ 661 ] The game was cancelled in May 2001 do to quality issues. [ 662 ]",Midway Games West,Midway
Jurassic Park: Survival,"For a deep dive, please read the Jurassic Part Wiki article . Third person action adventure announced for Xbox, PlayStation 2, GameCube and PC with a planned release for fall 2001. The game is a tie-in game of Jurassic Park III. Gameplay would be similar to Tomb Raider. A trailer was released to the public. [ 663 ]",Savage Entertainment,"Vivendi, Konami"
Justice League,"not to be confused with Justice League Heros Over the top action adventure game based on the animated series, planned to release in mid 2004 for Xbox and PlayStation 2. [ 664 ] The game was cancelled in February 2004 without a reason. [ 665 ]",Traveller's Tales,Midway
Kameo: Elements of Power,"Shortly after completion of Donkey Kong 64 , Rare started early work on Kameo for the Nintendo 64 . By the time it was publicly announced at E3 2001 , development had already shifted to the GameCube . In 2002, when Microsoft bought Rare, the GameCube version was cancelled and development was shifted to the Xbox. The game experienced a lengthy four year development period from there, leading to it being cancelled on Xbox in favor of releasing as a launch title for the Xbox 360 in 2005. [ 666 ] [ 667 ] [ 668 ] [ 669 ]",Rare,Microsoft
Kana Imoutou,Remake of the 1999 PC love adventure game. It was in development since 2002 and announced in May 2003 with Xbox Live features. [ 670 ] The game was cancelled at 27. May 2005 do to low sales of their other games on Xbox. [ 671 ] [ 672 ],Panther Software,
Kat Burglar,"Stealth action game planned to release on PS2, Xbox, and PC. The game was announced in 2000 for a release in 2001. [ 673 ] [ 674 ] In the game the player takes control of Katherine Kelly in a 1960s environment. The game was cancelled to concentrate on Ty the Tasmanian Tiger . [ 675 ]",Krome Studios,
Kaya,"Action / Fantasy /Sci-Fy adventure planned for a 2002 release. The game was planned as the first ""second person"" video game. [ 676 ] Nothing more is known about this release. [ 677 ] [ 678 ]",X-ample Architectures,
Kehl: Fury Unbound,"Action Adventure announced in October 2001 for Xbox. [ 679 ] Shortly after, the developer went bankrupt. A trailer for the game was published. [ 680 ]",DreamForge Intertainment,DreamForge Intertainment
Kid Ninja: Spirit of the Dragon,"3rd person platformer announced for Xbox, PlayStation 2, GameCube, PC  and Wii. [ 681 ] The game was planned to release in October 2004. [ 682 ] In the game the player controls a 12 year old kid with a magical toy, who fights crime at night in form of a ninja. [ 683 ] A trailer of the game was published. [ 684 ] It was planned to expand the brand by a TV show, music and toys. A TV show was in development in 2007 at Cartoon Network and development shifted to the Wii. [ 685 ] The game might be cancelled around 2011. Their website is still online, but hasn't updated in the last 10 years.",Asylum Entertainment,
Kill Bill (2005),Hack & Slash game based on the Kill Bill movie pitched in 2005. [ 686 ] A video of it was uploaded to YouTube. [ 687 ] The company went bankrupt before they could find a publisher. [ 688 ],Studio Gigante,
Kill Bill (2002),"Announced in October 2002 for a 2004 release, the game is based on the movie of the same name. [ 689 ] Nothing more is known about the game.",Black Label Games,Vivendi Games
Kingpin 2,"Announced in April 2004, the game was planned for PC and Xbox. [ 690 ]",Interplay,Interplay
King of Fighters 2000/2001,"Announced for a release in November 2004, the game was planned to release in Europe on PlayStation 2 and Xbox for 30€ and even got packshots released shortly before the release would took place. [ 691 ] Do to a German forum thread Amazon had the game for a short time but the Xbox version was delayed to February 2025 [ 692 ] [ 693 ] In the December 2004 issue of the German OXM, a Video of the game was shown. Test versions of the game on Xbox were given out to Magazines.",SNK Playmore,Ignition Entertainment
King of Fighters '94 Re-Bout,"Announced for Xbox in August 2005, the game was advertised on the back of manuals. [ 694 ] The game was cancelled in 2006. Like with KoF 2000/2001, it seems like preview discs were pressed and send out. The full finished game leaked online around 2014. The game released in 2004 for the PlayStation 2.",SNK Playmore,SNK Playmore
Kitchen Panic: Idaho Potato no Gyakushū (キッチンぱにっく ～アイダホポテトの逆襲～),3D platformer and sequel to the PS1 2D game. It was planned to release in 2004 in Japan. In the game the player controls a potato. The game would support Xbox Live. The Lost Media Wiki is looking for some build of the game. [ 695 ],Panther Software,Panther Software
Knights,"Car combat game that was in development in 2002 and planned for Xbox, PlayStation 2 and GameCube. After Atari was bought by Infograms the project was cancelled. [ 696 ]",Eden Games,Atari
Knights,"An action adventure announced for PlayStation 2 and ""other consoles"" with a 2002 release. [ 697 ] The game seems to be a The Legend of Zelda Parody do to taking place in ""Whyrule"". [ 698 ] Lost Boys were sold and the project scrapped.",Lost Boys,Sony Computer Entertainment Europe / SWING! Entert@inment Media
Knights of Decayden,"Not publicly announced or generally known about until an Axios retrospective story in 2022. A game centered around aerial combat in an original fantasy world . Originally pitched under the name Knights of Utu for the PlayStation 2 in 2000, and when the developers decided to change the platform to Xbox, it went under the name Archipelago prior to arriving on its final title. The game was in development until early 2022, and had been intended to release within a year of the Xbox's launch. The game was cancelled by Phil Spencer after Microsoft became unhappy that the game wasn't keeping with its aggressive development time tables. Parts of the game were up and running at the time of its cancellation, though it was very unfinished, with many parts of its scope and scale still not decided upon. [ 699 ] [ 700 ]",Totally Games,Microsoft
Konami's Moto-X,Post-apocalyptic motorcycle racing shooter game announced at E3 2002 for PlayStation 2 and Xbox. [ 701 ] The game was planned for an October 2002 and later a August 2003 release. [ 702 ],Konami,Konami
Konami All-In Poker,This game is also known as Konami Poker Championship . The game was announced at Gamer's Day 2006 and received a trailer. [ 703 ] [ 704 ] The ESRB rated the game T. [ 705 ] The games should feature detailed tutorials and Xbox Live components. [ 706 ],Ingram Entertainment,Konami
"Kore Gang, The","Action Adventure announced in March 2003 for an Winter 2003 release on Xbox. [ 707 ] The game was cancelled the first time in March 2004 do to financial trouble of the publisher CDV. [ 708 ] Development continued but shifted to the Wii in 2006, when the license was picked up by Game Foundation. [ 709 ] The Kore Gang released on Wii in 2010 in Europe and 2011 in the US.","UDS Zoink
Snap Dragon Games","CDV (till 2004) Games Foundation (2006-200X)
Atari (US; 2011) / Pixonauts (EU; 2010)"
Korea: Forgotten Conflict,also known as: Korea: Zapomniany Konflikt Stealth game based on the Korean war. The game was planned as a port of the PC version and was announced in January 2003. The game was in development since September 2001. [ 710 ],Plastic Reality,Cenega Publishing
Kung Fu Story,"The game began as a sequel to Kung Fu Chaos that was in development in 2003, before the first game went shelves worldwide. [ 711 ] The game was cancelled first do to Microsoft owning the Kung Fu Chaos IP and low sales of the first game. The second time under the name Kung Fu Story failed do to getting a publisher on board. [ 712 ]",Just Add Monsters,Microsoft
L42,"Futuristic mission based ""driving""/flying game that was in development around 2000. [ 713 ]",Blue Planet Software,
La Femme Nikita,"Video game based on the TV series. Versions for Dreamcast, PlayStation 2, Xbox and N64 were announced. [ 714 ] [ 714 ]",Infograms,Atari
Lake Master Pro for Dreamcast Plus!,A fishing game originally released for Dreamcast.,DaZZ,"Capcom, Midas Interactive"
Lamborghini,"Announced in 2002 for GameCube, PS2, and Xbox, the game was cancelled for all platforms in 2003 after Rage Software went out of business. Some aspect of the game were later used in the development of the Juiced series of racing games. A brief demo was released for Xbox in early 2003 prior to its cancellation, and an early prototype build of the game leaked in 2022. [ 715 ]",Rage Software,Majesco Entertainment
Lamborghini FX,"An arcade racing game. It was announced in May 2004 for PlayStation 2, GameCube, Xbox, and Windows. [ 716 ] The game was originally planned to release in July 2004. [ 717 ] However, it was delayed to the end of 2004. [ 718 ]",Milestone,Titus Interactive
LarryBoy and the Bad Apple,"Released on PlayStation 2 and Gameboy Advance the game was also planned and rated by the ESRB for GameCube, Xbox, Windows, PSP and Wii. [ 719 ] In the PlayStation 2 gamefiles unused Xbox text can be found. [ 720 ] The Xbox version might be cancelled do to the Xbox end of lifespan.",Papaya Studios,"Crave (US), 505 Games (IT)"
"Last Job, The","This game is also known as ""The Heist"" Heist game developed by Acclaim till the bankruptcy for PlayStation 2 and Xbox. The game was 40% completed. A prototype was leaked in 2024. [ 721 ] [ 722 ]",Acclaim Studios Cheltenham,Acclaim
"Last Ninja, The","Action Xbox game that is part of the Last Ninja franchise. the game got an ISBN number. [ 723 ] The game was announced in 2002 and planned to release in the US in September 2003. [ 724 ] [ 725 ] Later System 3 showed the game at E3 2003, partnered with EA and planned a release in 2004. [ 726 ] The game received prerelease cover art. [ 727 ]",Studio 3,Simon & Schuster (2002-2003) / EA (2003-2004)
Lawnmower Racing Mania 2007,Lawnmower racing game released on PC and planned to on Xbox. The game received release cover art and might be cancelled shortly before release. [ 728 ] [ 729 ] Some online game stores have listings of the game.,eV Interactive,Vivendi Games
Legacy of Kain: The dark Prophecy,"For a deep dive, please read the article in the Legacy of Kain Wiki The game was planned for Xbox, PlayStation 2 and PC with an 2004 release and a demo video was published.",Ritual Entertainment /Crystal Dynamics,Eidos Interactive
Legend of the Sun,"RPG announced in October 2001 for Xbox with an oriental vibe. [ 679 ] [ 730 ] Shortly after, the developer went bankrupt. Gameplay was published in December 2007 by Unseen64 [ 731 ] The game has a strong religious theme. Players assume the role of a legendary child of the sun, performing miracles to spread their teachings and fighting against evil pagans. [ 732 ]",DreamForge Intertainment,DreamForge Intertainment
Legion: Legend of Excalibur,"Strategy game, around King Arthur and his sword Excalibur. Announced in Fall 1999 for PlayStation 2. [ 733 ] The game released on PS2 to negative reviews. By 2003 the game was planned on Xbox to release in 2004. [ 734 ]",7 Studios,Midway
Leisure Suit Larry: Cocoa Butter,"also known as Leisure Suit Larry: Island Tale Adventure game and sequel to Magna Cum Laude . The game was planned to release on Xbox, PC, PlayStation 2 and PSP either in 2005 or 2006. [ 735 ] [ 736 ] In 2019 screenshots and a short video of a build of the game and information were published. The game was finished by 70% before it was cancelled. [ 737 ] At some point it would cost 49,99$ [ 738 ] and prerelease cover art was published. [ 739 ]",Sierra,Vivendi
Lenguins,Prototype / Tech Demo of a 2 player only game. A prototype for Xbox was found. Gameplay was shown in 2015. [ 740 ],Proto Media production company,
Lilther B,Puzzle game planned for Dreamcast and Xbox in 2002/2003. [ 741 ] [ 742 ],Takuyo,Takuyo
Lobo,"3rd person action game based on the DC Comics character announced in May 2003 for Xbox and PlayStation 2, after the game went on pre-order at retailers. [ 743 ] In August 2004 the game was put on hold [ 744 ] and ultimately cancelled in February 2004. [ 745 ]",Kemco USA,Kemco
London Taxi: RusHour,"Crazy Taxi clone with a FX4 license (the company that make the London taxis). The game was announced in November 2004 for Xbox, PlayStation 2, PSP and PC. [ 746 ] The game was released in 2006 in Europe for PlayStation 2 and in 2008 on the Wii to negative reviews.",Data Design Interactive,Data Design Interactive
London Racer: World Challenge,,,Davilex
Looney Tunes: Back in Action,"Looney Tunes platformer announced for Xbox, PlayStation 2 and GameCube. [ 747 ] Only the PlayStation 2 and GameCube versions released.",Warthog Games,EA / Warner Bros.
Loose Cannon,"Open world game with a similar style than 187 Ride or Die announced for PC, in production since 1997 and shelved in late 2000, when Microsoft bought the studio. The studio had to focus more on their game Freelancer. The open world was nearly finished and gameplay production began in February 2000. [ 748 ] The project was sold to Ubisoft and announced in October 2001 for Xbox with a planned 2002 release. [ 749 ] [ 750 ] The game had cost more then 5 Million Dollar. A screenshot of the game was published by German gaming magazine GameStar. [ 751 ]",Digital Anvil (till 2000) Sinister Games (2001),Microsoft Game Studios / Ubisoft [ 734 ]
"Lord of the Rings: The Treason of Isengard, The","Licensed game of the LotR franchise, similar to the Return of the King game. Treason of Isengard is based on the book and not on the films. [ 752 ] The game was announced in April 2003 [ 753 ] , shown at E3 [ 754 ] and a gameplay trailer was published. [ 755 ] The game was cancelled in September 2003 because the game didn't developed as thought and to concentrate on the development of The Hobbit , LotR: War of the Ring and Middle-Earth Online. [ 756 ]",Surreal Software,VU Games
"Lost, The","Horror 3rd person shooter game planned to release on PlayStation 2 and Xbox. The game was announced in 2000 for PlayStation 2 [ 757 ] and at E3 3003 for the Xbox. In the game the main protagonist, Amanda Wright lost her daughter and mahes a deal with the  devil to get in hell and getting her back. [ 758 ] The Lost was released in 2008 by FXLabs under the names Netherworld: Beyond Time I Stand (US) / Agni: Queen of Darkness (India) / Inferno: Where Death Is Your Only Ally (Poland / Russia).",Irrational Games,Crave
Madden NFL 10,,,EA
